OMO,Address,COAFile,PossibleITBMatch,MatchType
"EQ15340","541 WEST 204 STREET, 10034","EQ15340_010526011610.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15340_010226091936.pdf","FILENAME_OMO_MATCH"
"EQ15340","541 WEST 204 STREET, 10034","EQ15340_010526011610.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15340_010226091936 (1).pdf","FILENAME_OMO_MATCH"
"EQ15340","541 WEST 204 STREET, 10034","EQ15340_010526011610.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15340_010526011610.pdf","FILENAME_OMO_MATCH"
"EQ15340","541 WEST 204 STREET, 10034","EQ15340_010526011610.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15340_010526011610 (1).pdf","FILENAME_OMO_MATCH"
"EQ15334","2011 AMSTERDAM AVENUE, 10032","EQ15334_010326061257.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15334_122925103347.pdf","FILENAME_OMO_MATCH"
"EQ15334","2011 AMSTERDAM AVENUE, 10032","EQ15334_010326061257.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15334_122925103347 (1).pdf","FILENAME_OMO_MATCH"
"EQ15334","2011 AMSTERDAM AVENUE, 10032","EQ15334_010326061257.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15334_010326061257.pdf","FILENAME_OMO_MATCH"
"EQ15334","2011 AMSTERDAM AVENUE, 10032","EQ15334_010326061257.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15334_010326061257 (1).pdf","FILENAME_OMO_MATCH"
"EQ15088","589 VAN NEST AVENUE, 10460","EQ15088_010326060940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15088_122925102524.pdf","FILENAME_OMO_MATCH"
"EQ15088","589 VAN NEST AVENUE, 10460","EQ15088_010326060940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15088_122925102524 (1).pdf","FILENAME_OMO_MATCH"
"EQ15088","589 VAN NEST AVENUE, 10460","EQ15088_010326060940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15088_010326060940.pdf","FILENAME_OMO_MATCH"
"EQ15088","589 VAN NEST AVENUE, 10460","EQ15088_010326060940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15088_010326060940 (1).pdf","FILENAME_OMO_MATCH"
"EQ15766","263 14 STREET, 11215","EQ15766_010326060312.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15766_123125110417.pdf","FILENAME_OMO_MATCH"
"EQ15766","263 14 STREET, 11215","EQ15766_010326060312.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15766_123125110417 (1).pdf","FILENAME_OMO_MATCH"
"EQ15766","263 14 STREET, 11215","EQ15766_010326060312.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15766_010326060312.pdf","FILENAME_OMO_MATCH"
"EQ15766","263 14 STREET, 11215","EQ15766_010326060312.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15766_010326060312 (1).pdf","FILENAME_OMO_MATCH"
"EQ14952","15 WESTMINSTER ROAD, 11218","EQ14952_122925034157.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14952_122625040732.pdf","FILENAME_OMO_MATCH"
"EQ14952","15 WESTMINSTER ROAD, 11218","EQ14952_122925034157.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14952_122625040732 (1).pdf","FILENAME_OMO_MATCH"
"EQ14952","15 WESTMINSTER ROAD, 11218","EQ14952_122925034157.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14952_122925034157.pdf","FILENAME_OMO_MATCH"
"EQ14952","15 WESTMINSTER ROAD, 11218","EQ14952_122925034157.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14952_122925034157 (1).pdf","FILENAME_OMO_MATCH"
"EQ15218","143-45 SANFORD AVENUE, 11355","EQ15218_122925011315.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15218_122325023218.pdf","FILENAME_OMO_MATCH"
"EQ15218","143-45 SANFORD AVENUE, 11355","EQ15218_122925011315.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15218_122325023218 (1).pdf","FILENAME_OMO_MATCH"
"EQ15218","143-45 SANFORD AVENUE, 11355","EQ15218_122925011315.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15218_122925011315.pdf","FILENAME_OMO_MATCH"
"EQ15218","143-45 SANFORD AVENUE, 11355","EQ15218_122925011315.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15218_122925011315 (1).pdf","FILENAME_OMO_MATCH"
"EQ15260","655 MORRIS AVENUE, 10451","EQ15260_122725061425.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15260_122325100554.pdf","FILENAME_OMO_MATCH"
"EQ15260","655 MORRIS AVENUE, 10451","EQ15260_122725061425.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15260_122325100554 (1).pdf","FILENAME_OMO_MATCH"
"EQ15260","655 MORRIS AVENUE, 10451","EQ15260_122725061425.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15260_122725061425.pdf","FILENAME_OMO_MATCH"
"EQ15260","655 MORRIS AVENUE, 10451","EQ15260_122725061425.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15260_122725061425 (1).pdf","FILENAME_OMO_MATCH"
"EQ15356","3044 WALLACE AVENUE, 10467","EQ15356_122725060408.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15356_122325023636.pdf","FILENAME_OMO_MATCH"
"EQ15356","3044 WALLACE AVENUE, 10467","EQ15356_122725060408.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15356_122325023636 (1).pdf","FILENAME_OMO_MATCH"
