OMO,Address,COAFile,RecoveredITBFile,RecoveredITBPath
"EQ15085","1711 EAST 15 STREET, 11229","EQ15085_010526035829.pdf","EQ15085_010226033918.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15085_010226033918.pdf"
"EQ15088","589 VAN NEST AVENUE, 10460","EQ15088_010326060940.pdf","EQ15088_122925102524.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15088_122925102524.pdf"
"EQ15218","143-45 SANFORD AVENUE, 11355","EQ15218_122925011315.pdf","EQ15218_122325023218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15218_122325023218.pdf"
"EQ15260","655 MORRIS AVENUE, 10451","EQ15260_122725061425.pdf","EQ15260_122325100554.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15260_122325100554.pdf"
"EQ15334","2011 AMSTERDAM AVENUE, 10032","EQ15334_010326061257.pdf","EQ15334_122925103347.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15334_122925103347.pdf"
"EQ15340","541 WEST 204 STREET, 10034","EQ15340_010526011610.pdf","EQ15340_010226091936.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15340_010226091936.pdf"
"EQ15356","3044 WALLACE AVENUE, 10467","EQ15356_122725060408.pdf","EQ15356_122325023636.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15356_122325023636.pdf"
"EQ15398","389 CHAUNCEY STREET, 11233","EQ15398_122625054715.pdf","EQ15398_122325042920.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15398_122325042920.pdf"
"EQ15488","1360 NEW YORK AVENUE, 11210","EQ15488_010526033551.pdf","EQ15488_010226100438.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15488_010226100438.pdf"
"EQ15489","395 MAPLE STREET, 11225","EQ15489_010526045104.pdf","EQ15489_010226100207.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15489_010226100207.pdf"
